name,iso3,continent,state,flag
Sudan,SDN,Africa,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Sudan-flag.gif
Suriname,SUR,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Suriname-flag.gif
Swaziland,SWZ,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Swaziland-flag.gif
Sweden,SWE,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Sweden-flag.gif
Switzerland,CHE,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Switzerland-flag.gif
Syria,SYR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Syria-flag.gif
Tajikistan,TJK,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Tajikistan-flag.gif
Tanzania,TZA,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Tanzania-flag.gif
Thailand,THA,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Thailand-flag.gif
Timor Leste,TLS,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Timor-flag.gif
Togo,TGO,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Togo-flag.gif
Tonga,TON,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Tonga-flag.gif
Trinidad and Tobago,TTO,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/Trinidad-and-Tobago-flag.gif
Tunisia,TUN,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Tunisia-flag.gif
Turkey,TUR,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Turkey-flag.gif
Turkmenistan,TKM,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/Turkmenistan-flag.gif
Tuvalu,TUV,Oceania,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/oceania/Tuvalu-flag.gif
Uganda,UGA,Africa,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/africa/Uganda-flag.gif
Ukraine,UKR,Europe,Permitted By Law,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/Ukraine-flag.gif
United Arab Emirates,ARE,Asia,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/asia/United-Arab-Emirates-flag.gif
United Kingdom,GBR,Europe,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/europe/United-Kingdom-flag.gif
United States,USA,North America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/north-america/United-States-flag.gif
Uruguay,URY,South America,Unknown,https://dl.dropboxusercontent.com/u/78944658/NoToMilTrialsMap/Flags/south-america/Uruguay-flag.gif
